dc31001  -485585.501 3975992.923 2094.579
dc31002  -485587.016 3976000.227 2091.641
dc31003  -485591.161 3976009.016 2089.800
dc31004  -485596.915 3976020.383 2087.597
dc31005  -485598.804 3976025.151 2085.221
dc31006  -485600.410 3976029.210 2083.092
dc31007  -485603.156 3976033.857 2081.507
dc31008  -485608.136 3976037.878 2080.237
dc31009  -485611.386 3976040.857 2078.881
dc31010  -485619.512 3976044.572 2077.390
dc31011  -485625.075 3976047.911 2076.135
dc31012  -485632.928 3976051.274 2074.822
dc31013  -485638.764 3976053.161 2074.298
dc31014  -485646.294 3976051.376 2073.661
dc31015  -485655.309 3976043.473 2073.060
dc31016  -485662.719 3976037.039 2072.915
dc31017  -485669.842 3976030.010 2072.565
dc31018  -485675.767 3976023.862 2072.915
dc31019  -485680.317 3976017.040 2073.294
dc31020  -485667.131 3976000.338 2075.858
dc31021  -485659.470 3975989.555 2078.263
dc31022  -485650.181 3975995.934 2078.402
dc31023  -485640.621 3976004.410 2079.623
dc31024  -485641.142 3975997.109 2082.234
dc31025  -485639.783 3975993.065 2084.526
dc31026  -485638.209 3975989.670 2086.921
dc31027  -485640.543 3975985.374 2088.356
dc31028  -485646.037 3975980.182 2088.789
dc31029  -485653.248 3975973.247 2089.196
dc31030  -485666.767 3975959.405 2088.688
dc31031  -485675.399 3975950.091 2090.030
dc31032  -485670.568 3975941.710 2092.322
dc31033  -485677.507 3975939.982 2091.964
dc31034  -485678.742 3975934.384 2093.491
dc31035  -485676.418 3975929.343 2094.557
dc31036  -485670.655 3975927.458 2094.791
dc31037  -485663.913 3975933.794 2094.660
dc31038  -485649.352 3975947.567 2094.048
dc31039  -485642.785 3975953.508 2093.831
dc31040  -485636.937 3975959.541 2093.633
dc31041  -485633.998 3975963.083 2093.554
dc31042  -485626.333 3975970.397 2093.226
dc31043  -485619.129 3975977.736 2092.906
dc31044  -485608.453 3975984.640 2093.204
dc31045  -485594.667 3975988.203 2094.468
dm101  -485606.653 3975966.108 2097.136
dm102  -485611.764 3975970.941 2095.623
dm103  -485615.722 3975975.325 2095.139
dm104  -485618.786 3975978.026 2092.878
dm105  -485621.668 3975981.770 2092.723
dm106  -485624.345 3975985.159 2091.441
dm107  -485626.537 3975988.548 2090.558
dm108  -485627.944 3975990.348 2089.732
dm109  -485630.607 3975993.052 2087.700
dm110  -485633.817 3975995.748 2085.385
dm111  -485636.416 3975998.374 2083.164
dm112  -485638.120 3976000.055 2082.313
dm113  -485639.996 3976001.857 2080.933
dm114  -485641.947 3976003.936 2079.268
dm115  -485647.647 3976009.058 2077.336
dm116  -485653.907 3976014.900 2075.667
dm117  -485659.559 3976020.522 2074.166
dm118  -485665.537 3976027.506 2073.229
dm119  -485668.609 3976030.597 2072.985
dm201  -485653.414 3976044.319 2073.237
dm202  -485648.212 3976039.522 2073.731
dm203  -485644.070 3976034.910 2074.833
dm204  -485639.526 3976030.010 2076.008
dm205  -485638.636 3976028.705 2076.657
dm206  -485629.057 3976020.710 2079.352
dm207  -485624.967 3976016.094 2081.435
dm208  -485622.347 3976012.338 2083.242
dm209  -485620.219 3976008.242 2085.828
dm210  -485617.784 3976006.377 2087.197
dm211  -485614.738 3976003.815 2089.512
dm212  -485609.718 3975998.323 2090.692
dm213  -485604.419 3975991.413 2092.857
dm214  -485601.033 3975987.389 2093.946
dm215  -485602.249 3975983.761 2095.501
dm216  -485598.602 3975979.571 2096.006
dm217  -485594.991 3975975.754 2097.029
