蛤蟆先生去看心理医生（年销200万册！英国经典心理咨询入门书，知名心理学家李松蔚强烈推荐）,100%推荐,罗伯特・戴博德,天津人民出版社,¥19.00,¥38.00,5.0折
小熊和最好的爸爸（全7册）,99.6%推荐,阿兰德・丹姆,贵州人民出版社,¥17.50,¥35.00,5.0折
月光落在左手上（精装珍藏版）,99.7%推荐,余秀华,北京十月文艺出版社,¥29.00,¥58.00,5.0折
次第花开 修订版,100%推荐,希阿荣博堪布,海南出版社,¥19.90,¥39.80,5.0折
走遍中国 图说天下 寻梦之旅,100%推荐,霍晨昕,四川人民出版社,¥22.10,¥29.90,7.4折
非常疑犯（“法医笔记”系列重磅新作。《时代周刊》报道的中国法医，根据追踪10年的连环杀人案写成。有声剧播放超1000万。）,99.9%推荐,红眸,天津人民出版社,¥26.00,¥52.00,5.0折
三体：全三册 刘慈欣代表作，亚洲“雨果奖”获奖作品！,99.8%推荐,刘慈欣,重庆出版社,¥46.50,¥93.00,5.0折
人生海海（麦家重磅力作，莫言、董卿盛赞，连续两年高居畅销榜，发行量超200万册）,100%推荐,麦家,北京十月文艺出版社,¥27.50,¥55.00,5.0折
你当像鸟飞往你的山（中文版销量超200万册，比尔・盖茨年度特别推荐！登顶《纽约时报》畅销榜80+周，这本书比你听说的还要好！）,100%推荐,塔拉,南海出版公司,¥34.80,¥59.00,5.9折
马尔克斯：百年孤独（50周年纪念版）,99.8%推荐,加西亚・马尔克斯,南海出版公司,¥39.60,¥55.00,7.2折
神奇校车・桥梁书版（全20册）,99.9%推荐,乔安娜柯尔,贵州人民出版社,¥75.00,¥150.00,5.0折
少年读史记（套装全5册）,99.9%推荐,张嘉骅,青岛出版社,¥50.00,¥100.00,5.0折
南宋不忍细看：一窥南宋历代君臣的真实面目,99.7%推荐,晏建怀,中国友谊出版公司,¥22.10,¥49.00,4.5折
丰子恺万般滋味，都是生活,100%推荐,丰子恺,华中科技大学出版社,¥16.80,¥42.00,4.0折
愿你慢慢长大（与刘瑜、周国平、冯唐等名家一起开始一场温柔的教养旅程，聊一聊关于教养的真心话，感受孩子成长的真实意义。）,100%推荐,刘瑜,北京联合出版有限公司,¥20.30,¥45.00,4.5折
给男孩的情绪管理绘本（套装全5册）,99.9%推荐,乐凡,青岛出版社,¥45.00,¥90.00,5.0折
遥远的救世主（天道原著王志文主演电视剧畅销遥远的救世主作者豆豆三部曲之一）,99.8%推荐,豆豆,作家出版社,¥24.00,¥48.00,5.0折
亲密关系：通往灵魂的桥梁（新版）：杨天真推荐，这本书告诉我们如何穿透自我障碍，用爱酿造幸福秘方,99.9%推荐,克里斯多福・孟,湖南文艺出版社,¥22.50,¥45.00,5.0折
面纱（毛姆关于女性精神觉醒的经典作品，三次改编成电影。2018全新编校+无删减全译本）,100%推荐,毛姆,时代文艺出版社,¥10.50,¥27.00,3.9折
心安即是归处（季羡林百年生命智慧。央视《朗读者》多次动情朗读本书名篇，贾平凹、白岩松、金庸、林青霞诚意推荐）,100%推荐,季羡林,古吴轩出版社,¥24.50,¥49.00,5.0折
